,title,year,genre,country,url,poster-path,description,vote_average,vote_count,tmdb-poster,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
0,Utz,1992,Drama,GERMANY,https://rarefilmm.com/2022/08/utz-1992/,https://rarefilmm.com/wp-content/uploads/2022/08/utz922.jpg,"Fisher, a fine art dealer, goes to Prague after the death of a friend, the Baron von Utz, to see if he can obtain some of the pieces of the Baron’s priceless Meissen porcelain collection. He meets up with an old mutual friend, Orlik, who tells him about the Baron’s past, his struggle to keep his collection intact, while Fisher struggles to discover what happened to the collection",5.3,4.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,Home Road Movies,2002,Animation,UK,https://rarefilmm.com/2022/08/home-road-movies-2002/,https://rarefilmm.com/wp-content/uploads/2022/08/homeroad.jpg,"A sweet reminiscence about a family of four children and their RAF-veteran dad, who knows the timetable of every bus in London, but realizes his large family needs a car. He buys a Peugeot station wagon – license plate GFP831E, and the family sets off for annual holidays exploring every corner of Europe – “adopting local customs but never forgetting who won the war.” The narrator is one of the children who, as he ages, sees things he missed as a lad – the car no rocket, dad no speedster. As the years wear on, and the car sits in the driveway, dad keeps it ready for the next great summer holiday.",0.0,0.0,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,Woody Allen: An American Comedy,1977,Documentary,USA,https://rarefilmm.com/2022/08/woody-allen-an-american-comedy-1977/,https://rarefilmm.com/wp-content/uploads/2022/08/woody.jpg,"Woody Allen talks about his life and work as a writer, dramatist and film-maker and discusses his creative sources, theoretical approaches and working methods. Shows scenes from some of his major films including “Annie Hall”, “Love and Death”, “Sleep”, “The Night Club Years” and “Take the Money and Run”.",7.0,1.0,https://image.tmdb.org/t/p/original/p6MkrhmvB3xABtEykSYLsDgAgPg.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Kurt Vonnegut, Jr.: A Self-Portrait",1975,Documentary,USA,https://rarefilmm.com/2022/08/kurt-vonnegut-jr-a-self-portrait-1975/,https://rarefilmm.com/wp-content/uploads/2022/08/kurtvon.jpg,"Kurt Vonnegut, Jr., discusses his development as a writer, including reference to some of his major novels, his themes and their meaning, his relationship to other writers, problems in sustaining his special vision of American life, and his future. Accompanied by photographs which chronicle the author’s life and selections from home movies taken during his youth.",0.0,0.0,https://image.tmdb.org/t/p/original/q3bizycokWoVKcXBsI3C3mlxBBs.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,World Premiere,1941,Comedy,USA,https://rarefilmm.com/2022/08/world-premiere-1941/,https://rarefilmm.com/wp-content/uploads/2022/08/worldpremieree.jpg,"Hollywood producer Duncan DeGrasse is preparing for the debut of his anti-Nazi motion picture, ‘The Earth is in Flames.’ To generate hype, his press agents create elaborate events for the premiere. One of these stunts involves hiring phony spies to make the audience think they’re in real danger. However, among the fake spies are German and Italian operatives.",5.0,1.0,https://image.tmdb.org/t/p/original/poxR406JccoW6LMg0p5Z2o1qbnr.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Chump Change,2000,Comedy,USA,https://rarefilmm.com/2022/08/chump-change-2000/,https://rarefilmm.com/wp-content/uploads/2022/08/chumpchangee.jpg,"Rags to riches to rags comedy loosely based on the director Steve Burrows’ actual experiences while writing screenplays in Los Angeles. Burrows (aka “Milwaukee Steve”) finally makes it big as “The Crotch Fresh” commercial guy, but then can’t catch another break — not even when he auditions for a new Crotch Fresh commercial! He decides the only way to make a comeback as an actor is to fake his own death, then make a glorious return.",3.2,5.0,https://image.tmdb.org/t/p/original/m9r15VLWe3l5ytAmFOjTUhH8YPs.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Flame,1996,Drama,ZIMBABWE,https://rarefilmm.com/2022/08/flame-1996/,https://rarefilmm.com/wp-content/uploads/2022/08/flame.jpg,"Flame was the first Zimbabwean film since independence and is a tribute to the Zimbabwe African National Liberation Army’s female guerrillas. In the 1970s in former Rhodesia, the people stand up against the oppressors. As war reaches rural villages, friends Florence and Nyasha run away from home to join the fighters in Mozambican training camps. Both adopt revolutionary identities: Nyasha becomes Liberty, while Florence brands herself Flame. Flame created controversy in Zimbabwe, as the realistic depiction of the treatment of women in the liberation army was seen as anti-nationalist. The film also serves as a critique for post-independence Zimbabwe, and Mugabe’s rule.",0.0,0.0,https://image.tmdb.org/t/p/original/dU9SRc877gx0PHredaAnkVp2bTH.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
7,La petite vendeuse de soleil,1999,Drama,FRANCE,https://rarefilmm.com/2022/08/la-petite-vendeuse-de-soleil-1999/,https://rarefilmm.com/wp-content/uploads/2022/08/La-petite-vendeuse-de-soleil.jpg,"Mambéty describes what would be his final film as “a hymn to the courage of street children,” but like all of his works, it is also a hymn to Senegal, to post-colonial Africa and to resourceful visionaries like the courageous girl of the title. Undaunted by poverty or handicap, the young Sili Laam leaves her blind grandmother begging in the street to seek out a better existence for them both. As the only female newspaper seller, she encounters constant obstacles along the way, yet reacts by simply standing up for herself and others. Nonchalantly fighting for equality and justice, Sili’s courage and resilience are depicted with a mix of joy and hardship, but no saccharine.",6.7,13.0,https://image.tmdb.org/t/p/original/18xqbIjEnVssWbFNWgo3xEXQKpd.jpg,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
8,Koudak va sarbaz,2000,Drama,IRAN,https://rarefilmm.com/2022/08/koudak-va-sarbaz-2000/,https://rarefilmm.com/wp-content/uploads/2022/07/childandthesoldier.jpg,"On New Year’s Eve, a young soldier is looking forward to going home but is given orders to escort a juvenile delinquent to a distant reformatory. He sets off with the child handcuffed to him.",0.0,1.0,https://image.tmdb.org/t/p/original/yoYakMvHMbixbJEYOevxeW33AZy.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,Unfinished Business,1985,Drama,AUSTRALIA,https://rarefilmm.com/2022/08/unfinished-business-1985/,https://rarefilmm.com/wp-content/uploads/2022/08/unfinished.jpg,"Geoff, a journalist in his mid 40s, returns to Australia from 15 years abroad, leaving behind him in the U.S. a failed marriage and three children. He meets Maureen, the girl he was in love with when he left Australia. She is married to an older man, George, who she loves but have no children. Maureen – who once fell pregnant but had an abortion – tells Geoff her husband is sterile and asks for him to impregnate her.",7.0,1.0,https://image.tmdb.org/t/p/original/jp4rC3y9mXPDmicNQmh7HYc3kqA.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,Rainshower,1965,Documentary,USA,https://rarefilmm.com/2022/08/rainshower-1965/,https://rarefilmm.com/wp-content/uploads/2022/08/rainshower.jpg,"A cine-poem. Presents the sights, sounds, beauty, and rhythm of rain as it comes to living things on a farm and to people in the city. Explains that rain is a source of the water which we use, and that it affects plants and other living things as well as people working in the community.",0.0,0.0,https://image.tmdb.org/t/p/original/mXdnX99tN1DBCjw8GOBYXALJ8Oy.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,One Way Ticket,1935,Drama,USA,https://rarefilmm.com/2022/08/one-way-ticket-1935/,https://rarefilmm.com/wp-content/uploads/2022/08/onewayticket.jpg,"The creation of the Federal Deposit Insurance Commission would soon render anachronistic such crime melodramas as One Way Ticket. Upon discovering that a prominent banker has absconded with his customers’ funds, Jerry, one of the unlucky depositors, reacts by turning thief. He steals exactly the amount that he’d deposited, whereupon the cops close in and arrest him. Still feeling that he was merely getting back what was due him, Jerry bitterly stews in a jail cell until he’s swept up in a prison breakout. The other escapees are killed, but Jerry manages to get away, though from this moment forward he’s forced to live the toad-like life of a fugitive.",5.0,1.0,https://image.tmdb.org/t/p/original/oNuiQdNM1Km9bnDZLup80tjN9zr.jpg,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,Ružové sny,1977,Drama,CZECHOSLOVAKIA,https://rarefilmm.com/2022/08/ruzove-sny-1977/,https://rarefilmm.com/wp-content/uploads/2022/08/Rose-Tinted-Dreams.jpg,"Jakub, a dreamer and budding magician, juggles between parcels and services rendered to the villagers. His eyes cross that of the beautiful gypsy Jolanka. Together, they will try to live a first and big love, despite the pressure of their respective communities.",6.0,5.0,https://image.tmdb.org/t/p/original/89GKiM68eM3dbxcjhyhVf6tQEex.jpg,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
13,Broken Vessels,1998,Drama,USA,https://rarefilmm.com/2022/08/broken-vessels-1998/,https://rarefilmm.com/wp-content/uploads/2022/08/brokenvessels.jpg,"A young Pennsylvania man moves to Los Angeles to begin work for an ambulance service. There he is teamed with a supremely confident vet who seemingly has gone through a large number of partners. Initially the novice is awed by the more experienced man’s capabilities to deal with the high pressure situations they encounter. However, gradually he discovers that all is not as it seems. While the vet is ice on the surface, he actually gets through the ordeals by heavy drug use and avoids commitments. Soon the younger man finds himself pulled into the same world and has to decide what direction he wants to take.",5.3,6.0,https://image.tmdb.org/t/p/original/lebRab1We1hauObvU8jwMT90jhF.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,Cabine 11,1992,Short,BELGIUM,https://rarefilmm.com/2022/08/cabine-11-1992/,https://rarefilmm.com/wp-content/uploads/2022/07/cabine.jpg,"A comedy short in which a young woman has her clothes stolen at the beach, and needs to get hold of something to cover herself without being seen.",3.5,2.0,https://image.tmdb.org/t/p/original/4CMTngx3EPXvhX1XvYNJbZKYCxc.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Li gui chan shen,1987,Horror,TAIWAN,https://rarefilmm.com/2022/08/li-gui-chan-shen-1987/,https://rarefilmm.com/wp-content/uploads/2022/07/Split-of-the-Spirit.jpg,"Fred Tan’s Split of the Spirit is a macabre tale of supernatural possession, necromantic battles, and the vengeful phantom of a woman scorned. In Tan’s stylish neo-noir thriller, a renowned female choreographer becomes overtaken by the specter of a murdered woman, who forces her to enact revenge upon the men who have wronged her. ",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Night of Courage,1987,TV Movie,USA,https://rarefilmm.com/2022/08/night-of-courage-1987/,https://rarefilmm.com/wp-content/uploads/2022/08/nightofcourage.jpg,"An old man is outraged at the city when a teenage boy is beaten to death after being denied refuge in the old man’s home. A young teacher is determined to learn the truth about the murder of one of his students, a Hispanic teenager, who is beaten to death in a racial attack. He was denied refuge in the home of an old man and his wife.",0.0,0.0,https://image.tmdb.org/t/p/original/7RL779RegWnpGRPQVlya1diiWI7.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
17,Secrets,1983,Drama,UK,https://rarefilmm.com/2022/08/secrets-1983/,https://rarefilmm.com/wp-content/uploads/2022/08/secrets.jpg,"In the fall of 1963, Louise is a 13-year-old girl who lives with her widowed mother. Before she is set to leave for boarding school, she discovers a box belonging to her late father. The box contains secret documents in additions to condoms, but Louise thinks they are balloons. She also learns her father was a member of the secret order of Freemasons. While at boarding school, Louise attempts to explain to friends what the Freemasons are. The girls form their own version of a Masonic club. Meanwhile, Louise’s mother finds the box in Louise’s room and inadvertently thinks her daughter is sexually active. Louise learns her parents’ marriage was not what she thought it was.",4.0,2.0,https://image.tmdb.org/t/p/original/ak6lPaCwRpdkfhBe8WKKLN3fm11.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
18,The Faces of Aids,1993,Documentary,USA,https://rarefilmm.com/2022/08/the-faces-of-aids-1993/,https://rarefilmm.com/wp-content/uploads/2022/07/facesofaids2.jpg,"These film clips tell the story of the human experience of living with HIV/AIDS. People with HIV/AIDS, their husbands and wives, their families, their doctors and health workers talk about how HIV/AIDS has affected their lives. These are the personal video stories from Cameroon and Zimbabwe in which people speak out about their hopes and fears, their struggle against pain and abandonment and their fight for greater awareness and understanding. The film challenges stereotypes and calls for a concerted effort to face up to the epidemic.",0.0,0.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Your Face,1987,Animation,USA,https://rarefilmm.com/2022/08/your-face-1987/,https://rarefilmm.com/wp-content/uploads/2022/07/yourface.jpg,"A tenor, in suit and tie, with a receding hairline, sings a ballad to his love, “Your face is like a song,” to simple piano accompaniment. As he sings about his love’s face, his own face goes through phantasmagoric changes, beginning with his warbling mouth moving about. As the singing continues, his face twists, turns, explodes, liquefies, becomes block-shaped, multiples, curls, disappears in sections and all at once, and always reconfigures itself serenely into its original shape.",6.3,27.0,https://image.tmdb.org/t/p/original/4O8UpGOtl7Gz0Q62033UtZSB6e7.jpg,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,The Elephant and the Snail,2002,Animation,NETHERLANDS,https://rarefilmm.com/2022/08/the-elephant-and-the-snail-2002/,https://rarefilmm.com/wp-content/uploads/2022/08/elephantsnail.jpg,"Once upon a time in a forest, an elephant encounters a snail, when suddenly it begins to rain. The snail asks the elephant whether he wants to come inside his shell. The elephant accepts this kind invitation even though the snail’s house is a wee bit small.",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Hush!,2001,Comedy,JAPAN,https://rarefilmm.com/2022/08/hush-2001/,https://rarefilmm.com/wp-content/uploads/2022/08/hush2.jpg,"Soon after the disparate yet compatible Naoya and Katsuhiro start to settle into a relationship, a slightly unhinged young woman named Asako asks Katsuhiro to father her child. While the couple navigate the implications of this unexpected proposal, they are forced to confront their conflicting understandings of what it means to be gay and in a committed relationship. A landmark work of LGBTQ Japanese cinema by pioneering director Ryosuke Hashiguchi, Hush! humorously and poignantly upends the traditional Japanese genre of the family drama to offer a deeply human story about three people doing their best to be true to themselves. ",5.7,228.0,https://image.tmdb.org/t/p/original/8MYep3CqMoPZPbuISXPqzIEpuPv.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
22,Julien Donkey-Boy,1999,Experimental,USA,https://rarefilmm.com/2022/08/julien-donkey-boy-1999/,https://rarefilmm.com/wp-content/uploads/2022/07/julien2.jpg,"The first US film to be made under the Dogme 95 vow of chastity, Harmony Korine’s follow up to the controversial ‘Gummo’ tells the story of schizophrenic Julien, his pregnant sister Pearl, and their pedantic, over-bearing father. Using handheld digital cameras, Korine gathers together a series of disparate incidents in the life of the family – Julien’s friendship with a young blind figure-skater, Pearl’s masquerade as her and Julien’s dead mother, their brother’s training as wrestler, a visit to a gospel meeting – while slowly and subtly building towards a tragic climax.",6.9,79.0,https://image.tmdb.org/t/p/original/mK8pJA05Sdp3Hc4KWHMqhaMEbVW.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23,The Lift,1972,Short,USA,https://rarefilmm.com/2022/08/the-lift-1972/,https://rarefilmm.com/wp-content/uploads/2022/07/lift2.jpg,"Shot in black and white, with a jazzy soundtrack and no dialogue at all, The Lift tells the classic story of man versus machine. First short film by Robert Zemeckis, made while he was studying in California.",6.0,10.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,L’Argent des Autres,1978,Drama,FRANCE,https://rarefilmm.com/2022/08/largent-des-autres-1978/,https://rarefilmm.com/wp-content/uploads/2022/08/largent2.jpg,"Bank executive Rainier allows his firm to deliver adventurous investor Chevalier d’Aven a huge loan, with what he thinks is his employer Mirement’s total backing. Chevalier’s business proves indeed to be disastrous, which forces the bank to cover up its high deficits. News of the scandal breaks out, and the bank now sees Rainier as the one being responsible for it – he is laid off. Wife Celine and union representative Arlette suggest he should sue his former boss.",5.6,20.0,https://image.tmdb.org/t/p/original/mob0QH5DBCqE5CnEmnSjMZ3eTwU.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,Down Home,1920,Silent,USA,https://rarefilmm.com/2022/08/down-home-1920/,https://rarefilmm.com/wp-content/uploads/2022/08/downhome.jpg,"Nance Pelot is bravely trying to support herself and her father Joe, the town drunk, by playing piano in an unsavory roadside inn owned by Larry Shayne. Chet Todd, the son of a shop owner, is in love with Nance, but her reputation has been sullied by her profession, and so Chet’s mother disapproves of her. Nance inherits a small farm from her mother, and when Shayne discovers that the property is valuable, he plots to cheat Nance out of her inheritance.",0.0,0.0,https://image.tmdb.org/t/p/original/yiXkKtOElZpFd8uKr7KCjVFFDLy.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,Risk,1993,Drama,USA,https://rarefilmm.com/2022/08/risk-1993/,https://rarefilmm.com/wp-content/uploads/2022/08/risk.jpg,"Maya, a New York artist and model, meets Joe, a drifter. They begin a passionate affair. On an impromptu trip to visit Joe’s sister in the country, Joe’s inner demons begin to surface. Maya tries to help and eventually struggles to hold on as Joe becomes increasingly unstable.",4.2,5.0,https://image.tmdb.org/t/p/original/g4jNvfu3FrCvRQhA29qOflzoc97.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,Når livet går sin vej,1997,Family,DENMARK,https://rarefilmm.com/2022/08/nar-livet-gar-sin-vej-1997/,https://rarefilmm.com/wp-content/uploads/2022/07/whenlife.jpg,"Combining documentary authenticity with subtle fantasy, Danish directors Stefan Fjeldmark and Karsten Kiilerich explore children’s attitudes and vague conceptions about death.",6.5,4.0,https://image.tmdb.org/t/p/original/A0M0KOVpoRaH4UiubcBHdyiLzMC.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Jet Over the Atlantic,1959,Action,USA,https://rarefilmm.com/2022/08/jet-over-the-atlantic-1959/,https://rarefilmm.com/wp-content/uploads/2022/07/jetoverr.jpg,"FBI man Stafford is extraditing convicted killer Brett Murphy from Spain to the USA. At the last minute, Murphy’s fiancée, entertainer Jean Gurney, finds he’s been taken and slips on the plane. Unknown to them, a suicidal passenger has a fire and gas bomb in his luggage. As time ticks away, minor dramas are played out on board.",5.4,5.0,https://image.tmdb.org/t/p/original/udwRDgoGgFhl4m9OYVI8TPgncMo.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,Khaneh siah ast,1963,Short,IRAN,https://rarefilmm.com/2022/07/khaneh-siah-ast-1963/,https://rarefilmm.com/wp-content/uploads/2022/07/houseisblack.jpg,"The House is Black is an empathetic portrait of a leper colony from Iranian poet Forough Farrokhzad. Her work, both in film and poetry, has influenced everyone from Iranian New Wave master Abbas Kiarostami to French essay film pioneer Chris Marker. With The House is Black, Farrokhzad unflinchingly captures the world of a leper colony in Tabriz, Iran. She recites her own poetry over images of everyday life for a people shut away from society. Farrokhzad’s portrait highlights a world weighed down by tragedy yet uplifted by community. The result is a heartbreaking film that eschews condescension in favor of hard-won empathy.",7.5,101.0,https://image.tmdb.org/t/p/original/eFIpxjYOMLoN5BBjy4McT7rBKmr.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Chigh,1996,Documentary,IRAN,https://rarefilmm.com/2022/07/chigh-1996/,https://rarefilmm.com/wp-content/uploads/2022/07/Chigh.jpg,A documentary of the epic story of the weaving Chigh. Chigh is a kind of texture made from wood and osier that is made in the ilats of the west of Iran and is used for covering around their Siah-chadors (tents).,0.0,0.0,https://image.tmdb.org/t/p/original/kDIhkbB0QTweqyzGydHiNwVEScy.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Tell Me Where It Hurts,1974,TV Movie,USA,https://rarefilmm.com/2022/07/tell-me-where-it-hurts-1974/,https://rarefilmm.com/wp-content/uploads/2022/07/tellmewhere.jpg,"A housewife, increasingly disenchanted with her homemaker role, searches for new meaning in her life and organizes a discussion group, changing the lives of her six closest friends.",0.0,0.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
32,Sylvie,1973,Drama,WEST,https://rarefilmm.com/2022/07/sylvie-1973/,https://rarefilmm.com/wp-content/uploads/2022/07/sylvie3.jpg,"Fashion model Sylvie falls asleep drunk in the cab of Munich taxi driver Paul, and an impossible love affair beckons. Renegade director Klaus Lemke had previously startled German TV audiences with the biker drama Rocker, announcing an unprecedented, unvarnished freshness and authenticity with nonprofessional actors, real dialect and on-the-fly style. In Sylvie, he adds a disarming tenderness.",7.3,4.0,https://image.tmdb.org/t/p/original/dnx88EfM4JQgbmmLXrsisMr9i2.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
33,Rocker,1972,Cult,WEST,https://rarefilmm.com/2022/07/rocker-1972/,https://rarefilmm.com/wp-content/uploads/2022/07/rocker.jpg,"In Hamburg, West Germany, a rocker biker gang helps a kid avenge his brother who was murdered by a rival gang, a mortal enemy of rocker gangs.",5.9,18.0,https://image.tmdb.org/t/p/original/4SCeIGfSYRO7pR78MMG4gfCnk98.jpg,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
34,Cosmic Ray,1962,Experimental,USA,https://rarefilmm.com/2022/07/cosmic-ray-1962/,https://rarefilmm.com/wp-content/uploads/2022/07/cosmic.jpg,"This experimental short by Bruce Conner uses Ray Charles’ “What’d I Say” as accompaniment to constantly shifting collage of female nude, cartoons, and newsreels of atomic bomb explosions.",6.4,29.0,https://image.tmdb.org/t/p/original/voRjQ5ExJh8TZ5vc9HwBL3d98fK.jpg,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
35,Wszystko moze sie przytrafic,1995,Documentary,POLAND,https://rarefilmm.com/2022/07/wszystko-moze-sie-przytrafic-1995/,https://rarefilmm.com/wp-content/uploads/2022/07/Wszystko-moze.jpg,"A story of life and death, featuring Marcel Lozinski’s six-year-old son Tomaszek and elderly people spending time on the benches of a Warsaw park. Riding his scooter, Tomaszek asks the elderly very adult, though basic, questions, which they are happy to answer. The boy’s ideas of future and life are confronted with those of people at the end of their lives.",7.0,16.0,https://image.tmdb.org/t/p/original/4GQVr0LMBEvzsjNBPybyxmMoRCy.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,The Critic,1963,Animation,USA,https://rarefilmm.com/2022/07/the-critic-1963/,https://rarefilmm.com/wp-content/uploads/2022/07/thecritic.jpg,"A series of strange abstract images are projected in a movie theater. An old man from Russia in the audience watches this and can make neither head nor tail of them. He heckles the picture, wondering out loud, “Vhat da hell is dis?” while irritating the other patrons around him. He comments outrageously the entire time, saying, “It must be some symbolism! I think it’s symbolic of… junk.”",6.4,25.0,https://image.tmdb.org/t/p/original/jHGRWGg3dGC37o2UBO1ecCjv6Q5.jpg,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Dreams of a Land,1987,Animation,CANADA,https://rarefilmm.com/2022/07/dreams-of-a-land-1987/,https://rarefilmm.com/wp-content/uploads/2022/07/dreamsofaland.jpg,"Animated drawings illustrate the life and explorations of Samuel de Champlain, founder of Québec City. The film follows Champlain from his first ambitions to map the New World and discover a passage to the sea, to his later dreams for New France.",0.0,0.0,https://image.tmdb.org/t/p/original/8s4JzhR79Gjw5va998V9ieVLQ5A.jpg,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38,Sara lär sig folkvett,1937,Comedy,SWEDEN,https://rarefilmm.com/2022/07/sara-lar-sig-folkvett-1937/,https://rarefilmm.com/wp-content/uploads/2022/07/Sara-lär-sig-folkvett.jpg,"The rich Haller family have lost nearly all their money after investing in the stock market. They need more money, but from where? They have a young house-maid, Sara, who inherits a fortune from a rich uncle in Australia. Sara is in love with the son in the family, Georg Haller, but he won’t marry for money. She has to spend all her money if she will ever marry him…",5.0,2.0,https://image.tmdb.org/t/p/original/dqpC3yBS6UFJqLUxlIZHqZ7fKD5.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Jours tranquilles à Clichy,1990,Drama,FRANCE,https://rarefilmm.com/2022/07/jours-tranquilles-a-clichy-1990/,https://rarefilmm.com/wp-content/uploads/2022/07/quietdays.jpg,"Sexual escapades with a parade of beautiful women distract an American Author trying to establish himself in post WWI Paris. Henry, the young author, travels through brothels and the streets of Paris, making friends and falling in love along the way. The dark underbelly of the city is explored in nights of drunken revelry as Henry’s exploits become increasingly lascivious.",4.6,19.0,https://image.tmdb.org/t/p/original/5l7TeAv21BCQNZr5FqVGiuyGagh.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,The Assassination of JFK,1992,Documentary,USA,https://rarefilmm.com/2022/07/the-assassination-of-jfk-1992/,https://rarefilmm.com/wp-content/uploads/2022/07/jfk.jpg,"If one were to select the ten most significant events in American history, there would be no doubt that the death of President John F. Kennedy would be among the list. This is not only because of the fact that one of America’s most visionary presidents was cut down in the prime of his life, but because almost 60 years later after the fact, his assasination continues to be shrouded with mystery and controversy. This documentary presents the facts surrounding the events before, and ather that horrific moment in Dallas, and includes interviews of those who were on the scene not only at the tragic sight of the murder of JFK, but also a number of individuals who possess firsthand knowledge of everything from the politics of the day to the actualy autopsy performed on the president.",0.0,0.0,https://image.tmdb.org/t/p/original/fyO15KZU5ZSWJjath006Blwi5wk.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Spendthrift,1936,Comedy,USA,https://rarefilmm.com/2022/07/spendthrift-1936/,https://rarefilmm.com/wp-content/uploads/2022/07/spend.jpg,"Spendthrift gives the modern viewer a pretty good idea how Hollywood planned to “mold” the image of new star Henry Fonda. The Lanky One is cast as a profligate, polo-playing playboy, married to a beautiful but superficial heiress (Mary Brian). They divorce, and the wife gets all the money. But the humbled (and impoverished) Fonda finds true love in the arms of Pat Paterson, who cares nothing for material things.",5.0,1.0,https://image.tmdb.org/t/p/original/rpTlOm2WDfDN8xjM8KcpyhTDQqM.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42,Counterfeit,1936,Thriller,USA,https://rarefilmm.com/2022/07/counterfeit-1936/,https://rarefilmm.com/wp-content/uploads/2022/07/counterfeit.jpg,"John Joseph Madden, a T-Man special agent goes undercover to rescue a kidnapped Treasury Department engraver from a counterfeiting gang led by Capper Stevens. He also has time to get involved with sisters Aimee and Verna Maxwell.",6.0,2.0,https://image.tmdb.org/t/p/original/6DBL8B9qDSuKZrIXLmKbYzF4E70.jpg,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,The Djarn Djarns,2004,Short,AUSTRALIA,https://rarefilmm.com/2022/07/the-djarn-djarns-2004/,https://rarefilmm.com/wp-content/uploads/2022/07/Djarn.jpg,"Eleven-year-old Frankie Dollar is the leader of an Aboriginal dance group, the Djarn Djarns. Theyr̉e in big demand today at the Cultural Centre, but Frankies̉ really in the doldrums because one year ago, to the day, his father died. Now he needs his friends more than ever.",0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Grandeur et décadence d’un petit commerce de cinéma,1986,Experimental,FRANCE,https://rarefilmm.com/2022/07/grandeur-et-decadence-dun-petit-commerce-de-cinema-1986/,https://rarefilmm.com/wp-content/uploads/2022/07/grandeur1.jpg,"Director Gaspard Bazin is working on a new feature film. For now, he’s still looking at the fundraising and casting stage of the process. He calls upon Jean Almereyda, a once-fashionable producer who is now going through a bad patch, finding it increasingly difficult to raise the capital he needs for his ventures. His wife Eurydice dreams of being a movie star. A perverse game between the two men ensues, with Almereyda wanting to please his wife, but reluctant to demand a role for Eurydice because of Bazin’s reputation as an incorrigible seducer.",6.4,19.0,https://image.tmdb.org/t/p/original/3CmVcJhPYWcJCue3fs38SaiFyoi.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
